feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f15491	0.7178012599546303	2.740390862163622e-05	1.1221122424921347e-13	1.838468698099113e-09	up
f18382	0.7612566584650374	5.285306647419929e-05	6.022557537539392e-14	1.838468698099113e-09	up
f4661	0.4322003363131777	0.0004342275697163	2.1819480026707272e-09	1.97939203021706e-05	up
f4670	0.38232522429143695	6.223682146355713e-06	3.020312546107574e-09	1.97939203021706e-05	up
f9452	0.03315620904481798	5.142590071773156e-05	2.462700278831133e-09	1.97939203021706e-05	up
f25902	-0.3869310828134948	-3.987614840298193e-06	2.9641184497058938e-08	0.0001618803889332	down
f10149	0.4171427625413279	5.73991218698211e-06	3.5553747664717295e-08	0.0001664321719253	up
f32137	0.3537145275248182	2.7089394516224273e-05	4.5144655134877104e-08	0.0001849125074324	up
f10937	0.3377206131520233	3.073325507830304e-05	5.991084018610489e-08	0.0002181287123575	up
f10379	0.37464162173294246	6.316777521533367e-06	8.460854023098133e-08	0.0002772452646288	up
f31928	0.27135174634399184	2.620555254543433e-05	1.548746568698993e-07	0.0004613575233011	up
f13838	0.2852836282825998	5.408100450767961e-05	4.06550043953954e-07	0.0011101526533569	up
f15532	0.27089935229231366	0.0022383147267319	5.218548138260525e-07	0.0013153952722655	up
f2456	0.281180898193033	2.7366256703317052e-05	5.897427578621061e-07	0.0013803350492589	up
f8270	0.40123062958634864	5.450393601677206e-06	8.422797555054589e-07	0.0016235190016707	up
f18125	0.18795903165367128	1.643902869545855e-06	8.409217236837079e-07	0.0016235190016707	up
f460	0.3195329453607731	4.917313570331317e-06	7.590355364572932e-07	0.0016235190016707	up
f701	0.22883779474934102	8.284318830192205e-05	9.760640036467658e-07	0.0017313611186894	up
f27384	0.32837797496175153	0.0001418848210814	1.0039020158416492e-06	0.0017313611186894	up
f21296	0.35346429131896184	0.0001000883898796	1.119503163787651e-06	0.0018341939835496	up
f20631	0.20497204162909732	1.2441341550584183e-05	1.1831904834150913e-06	0.0018462278933593	up
f21801	0.2469601187883348	1.5923063689115224e-05	1.3670848673684414e-06	0.002036210769724	up
f14812	0.3560187658674553	3.269925480344682e-05	1.5426708388413243e-06	0.0021978364368327	up
f13176	0.28559195104337115	5.34154727938585e-06	1.951834723297206e-06	0.0026649050088751	up
f25021	0.31896568191348856	3.491237558773719e-05	2.0796000577494925e-06	0.0027257733876934	up
f20548	0.38800484693440845	0.0003142177768058	2.8968964477842916e-06	0.0029745137564573	up
f16976	0.42999841374390024	3.5107449111819733e-06	2.969054715241781e-06	0.0029745137564573	up
f12146	0.23027631916212077	2.7407589985159577e-05	2.60891189847465e-06	0.0029745137564573	up
f28213	0.3018863696595194	4.372584488010034e-06	2.5456570455904133e-06	0.0029745137564573	up
f6730	0.09904709870941403	1.94651283291023e-05	2.99557354623699e-06	0.0029745137564573	up
f5814	0.35178077232629956	0.0026932552233338	2.7654699682347013e-06	0.0029745137564573	up
f4529	0.41413296881713313	6.372843610733981e-06	2.8105389087447805e-06	0.0029745137564573	up
