feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,-0.6082627781976142,-0.6082627781976142,3.3963682840309276e-27,4.347351403559587e-25,down
f2,-0.42183851024080676,-0.42183851024080676,2.0046585316847107e-12,1.2829814602782148e-10,down
f90,-0.3378417387461846,-0.3378417387461846,3.167820975193838e-08,1.3516036160827044e-06,down
f85,0.3167316285899342,0.3167316285899342,2.3841727421247064e-07,7.6293527747990606e-06,up
f94,0.31084016574933077,0.31084016574933077,4.0761092902307743e-07,1.0434839782990782e-05,up
f109,0.30798418142881223,0.30798418142881223,5.26440535515851e-07,1.1230731424338155e-05,up
f102,-0.28238454498260324,-0.28238454498260324,4.633479598178921e-06,8.472648408098598e-05,down
f119,0.2627704610783832,0.2627704610783832,2.1336745378759634e-05,0.00034138792606015414,up
f106,-0.24545940355730808,-0.24545940355730808,7.457898388647453e-05,0.0010606788819409712,down
f95,-0.24007313003645178,-0.24007313003645178,0.00010812462627938375,0.001383995216376112,down
f122,-0.21976929624438224,-0.21976929624438224,0.0004069827919605718,0.0047357997609957445,down
f105,0.21708991105569503,0.21708991105569503,0.00048059525658837674,0.005126349403609352,up
f110,-0.21424912584078493,-0.21424912584078493,0.0005719903450792365,0.005631904936164791,down
f93,-0.20701000896956687,-0.20701000896956687,0.000882477904831778,0.008068369415604827,down
f38,-0.20450505161190985,-0.20450505161190985,0.001021925787856537,0.008720433389709117,down
f84,-0.2015585964246744,-0.2015585964246744,0.0012117672506598484,0.009694138005278788,down
f79,0.19863819684705347,0.19863819684705347,0.0014313997722320295,0.010178842824761098,up
f81,-0.19898994757684874,-0.19898994757684874,0.0014031381374749667,0.010178842824761098,down
f118,-0.18214427219416524,-0.18214427219416524,0.0035140876518910094,0.023673853654844694,down
f101,0.18010614450876733,0.18010614450876733,0.003907080444178301,0.025005314842741128,up
f92,0.178801192727243,0.178801192727243,0.004179109361366649,0.02513959896946522,up
f117,-0.17815125002074894,-0.17815125002074894,0.004320868572876835,0.02513959896946522,down
f17,0.17048221559089224,0.17048221559089224,0.0063524019426828724,0.033879477027641984,up
f64,-0.1709186470519345,-0.1709186470519345,0.006217124981480708,0.033879477027641984,down
f68,0.1694059741604282,0.1694059741604282,0.006697314073188995,0.034290248054727655,up
f60,-0.1678223721094159,-0.1678223721094159,0.007235272271832096,0.035619801953634934,down
f83,0.1582802288550529,0.1582802288550529,0.011370868596152654,0.05390634001139036,up
f100,0.15646574515217912,0.15646574515217912,0.0123595358625784,0.05455243415207018,up
f120,0.15646791645298033,0.15646791645298033,0.012358308912090792,0.05455243415207018,up
f127,-0.1543443842694017,-0.1543443842694017,0.013610738606261621,0.05807248472004958,down
f115,0.15340131595474488,0.15340131595474488,0.014201796667249428,0.05863967656154603,up
f87,-0.14995111898162988,-0.14995111898162988,0.016560293421395495,0.0642338653920795,down
f121,0.15043170022562993,0.15043170022562993,0.016212522489541935,0.0642338653920795,up
f42,0.1472391642809246,0.1472391642809246,0.018647427735035787,0.06709814207146214,up
f55,-0.1474519517594427,-0.1474519517594427,0.018475769740774483,0.06709814207146214,down
f103,-0.14696413284610527,-0.14696413284610527,0.018871352457598727,0.06709814207146214,down
f89,-0.13437058819911527,-0.13437058819911527,0.03195918652503584,0.11056151014066454,down
f12,0.12700408834755986,0.12700408834755986,0.04272982796776811,0.14024148666344405,up
f59,0.12752809560758405,0.12752809560758405,0.04187396696018761,0.14024148666344405,up
f32,-0.12473507901030044,-0.12473507901030044,0.04660732017395461,0.14689642680821818,down
