feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f0,-0.3322851609032398,-0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,down
f1,-0.3322851609032398,-0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,down
f5,-0.3320887669980196,-0.3320887669980196,5.575241063294705e-08,2.0171564690186824e-07,down
f6,0.3362326783981651,0.3362326783981651,3.714774963973628e-08,2.0171564690186824e-07,up
f7,0.3333947864677337,0.3333947864677337,4.9087483504249976e-08,2.0171564690186824e-07,up
f12,0.3309665161110472,0.3309665161110472,6.21685552669691e-08,2.0171564690186824e-07,up
f13,-0.33510341344314915,-0.33510341344314915,4.151862599572333e-08,2.0171564690186824e-07,down
f16,0.33341442585825576,0.33341442585825576,4.899337176514533e-08,2.0171564690186824e-07,up
f18,0.3298372511560313,0.3298372511560313,6.93397536225172e-08,2.0171564690186824e-07,up
f21,0.33265550369594066,0.33265550369594066,5.275958734063063e-08,2.0171564690186824e-07,up
f22,0.33453387111801064,0.33453387111801064,4.3907099569842235e-08,2.0171564690186824e-07,up
f28,-0.3309665161110472,-0.3309665161110472,6.21685552669691e-08,2.0171564690186824e-07,down
f30,-0.33341442585825576,-0.33341442585825576,4.899337176514533e-08,2.0171564690186824e-07,down
f33,-0.33510341344314915,-0.33510341344314915,4.151862599572333e-08,2.0171564690186824e-07,down
f34,0.32985689054655326,0.32985689054655326,6.920849141480113e-08,2.0171564690186824e-07,up
f36,-0.3322851609032398,-0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,down
f42,0.3356434966825046,0.3356434966825046,3.936970511843566e-08,2.0171564690186824e-07,up
f44,-0.3322851609032398,-0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,down
f45,0.33153605843618567,0.33153605843618567,5.882827592127629e-08,2.0171564690186824e-07,up
f47,-0.3333947864677337,-0.3333947864677337,4.9087483504249976e-08,2.0171564690186824e-07,down
f50,0.33341442585825576,0.33341442585825576,4.899337176514533e-08,2.0171564690186824e-07,up
f51,0.3298372511560313,0.3298372511560313,6.93397536225172e-08,2.0171564690186824e-07,up
f52,-0.33023003896647163,-0.33023003896647163,6.675949811601615e-08,2.0171564690186824e-07,down
f53,-0.3362326783981651,-0.3362326783981651,3.714774963973628e-08,2.0171564690186824e-07,down
f54,-0.33696915554274076,-0.33696915554274076,3.453990280156349e-08,2.0171564690186824e-07,down
f60,0.3298372511560313,0.3298372511560313,6.93397536225172e-08,2.0171564690186824e-07,up
f62,-0.3333947864677337,-0.3333947864677337,4.9087483504249976e-08,2.0171564690186824e-07,down
f63,0.3309665161110472,0.3309665161110472,6.21685552669691e-08,2.0171564690186824e-07,up
f65,-0.3362326783981651,-0.3362326783981651,3.714774963973628e-08,2.0171564690186824e-07,down
f67,0.33583989058772473,0.33583989058772473,3.861518734412091e-08,2.0171564690186824e-07,up
f70,0.33153605843618567,0.33153605843618567,5.882827592127629e-08,2.0171564690186824e-07,up
f79,0.32985689054655326,0.32985689054655326,6.920849141480113e-08,2.0171564690186824e-07,up
f84,-0.3320887669980196,-0.3320887669980196,5.575241063294705e-08,2.0171564690186824e-07,down
f95,0.3362326783981651,0.3362326783981651,3.714774963973628e-08,2.0171564690186824e-07,up
f99,-0.33753869786787927,-0.33753869786787927,3.2645118398876156e-08,2.0171564690186824e-07,down
f101,-0.33753869786787927,-0.33753869786787927,3.2645118398876156e-08,2.0171564690186824e-07,down
f105,0.3298372511560313,0.3298372511560313,6.93397536225172e-08,2.0171564690186824e-07,up
f106,0.3326751430864627,0.3326751430864627,5.265870146237486e-08,2.0171564690186824e-07,up
f107,0.32985689054655326,0.32985689054655326,6.920849141480113e-08,2.0171564690186824e-07,up
f109,0.33042643287169177,0.33042643287169177,6.550429218606e-08,2.0171564690186824e-07,up
f117,-0.3322851609032398,-0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,down
f119,0.33341442585825576,0.33341442585825576,4.899337176514533e-08,2.0171564690186824e-07,up
f121,0.3309665161110472,0.3309665161110472,6.21685552669691e-08,2.0171564690186824e-07,up
f125,0.3322851609032398,0.3322851609032398,5.469723656769923e-08,2.0171564690186824e-07,up
f10,0.32853123168631715,0.32853123168631715,7.862779767384704e-08,2.053950633112739e-07,up
f25,-0.3291007740114556,-0.3291007740114556,7.443885931120205e-08,2.053950633112739e-07,down
f64,0.3291007740114556,0.3291007740114556,7.443885931120205e-08,2.053950633112739e-07,up
f82,0.32853123168631715,0.32853123168631715,7.862779767384704e-08,2.053950633112739e-07,up
f115,-0.32853123168631715,-0.32853123168631715,7.862779767384704e-08,2.053950633112739e-07,down
f116,0.2903396311890382,0.2903396311890382,2.410660236647383e-06,6.050284515507157e-06,up
f126,-0.2903396311890382,-0.2903396311890382,2.410660236647383e-06,6.050284515507157e-06,down
f38,0.2890139723288021,0.2890139723288021,2.6917028610944866e-06,6.152463682501683e-06,up
f66,0.2890336117193241,0.2890336117193241,2.6873200033756234e-06,6.152463682501683e-06,up
f75,-0.2890336117193241,-0.2890336117193241,2.6873200033756234e-06,6.152463682501683e-06,down
f77,0.2890139723288021,0.2890139723288021,2.6917028610944866e-06,6.152463682501683e-06,up
f93,0.2890336117193241,0.2890336117193241,2.6873200033756234e-06,6.152463682501683e-06,up
f3,-0.28619571978889274,-0.28619571978889274,3.3965436764091267e-06,7.012219202909165e-06,down
f59,0.2862153591794147,0.2862153591794147,3.3910724509010286e-06,7.012219202909165e-06,up
f69,-0.2862153591794147,-0.2862153591794147,3.3910724509010286e-06,7.012219202909165e-06,down
f71,-0.2862153591794147,-0.2862153591794147,3.3910724509010286e-06,7.012219202909165e-06,down
f98,-0.2862153591794147,-0.2862153591794147,3.3910724509010286e-06,7.012219202909165e-06,down
f102,-0.2862153591794147,-0.2862153591794147,3.3910724509010286e-06,7.012219202909165e-06,down
f17,-0.2848897003191786,-0.2848897003191786,3.779878211034229e-06,7.330672894126989e-06,down
f92,-0.2848897003191786,-0.2848897003191786,3.779878211034229e-06,7.330672894126989e-06,down
f108,0.2848897003191786,0.2848897003191786,3.779878211034229e-06,7.330672894126989e-06,up
f123,0.2848897003191786,0.2848897003191786,3.779878211034229e-06,7.330672894126989e-06,up
f4,-0.180185095378264,-0.180185095378264,0.0038911471901154735,0.0070866765327610185,down
f20,0.180185095378264,0.180185095378264,0.0038911471901154735,0.0070866765327610185,up
f27,0.17998870147304383,0.17998870147304383,0.003930890889265877,0.0070866765327610185,up
f104,0.17998870147304383,0.17998870147304383,0.003930890889265877,0.0070866765327610185,up
f114,0.180185095378264,0.180185095378264,0.0038911471901154735,0.0070866765327610185,up
f14,0.17885943651802788,0.17885943651802788,0.004166612857544441,0.007111019276875846,up
f19,-0.17885943651802788,-0.17885943651802788,0.004166612857544441,0.007111019276875846,down
f68,-0.17885943651802788,-0.17885943651802788,0.004166612857544441,0.007111019276875846,down
f81,0.17885943651802788,0.17885943651802788,0.004166612857544441,0.007111019276875846,up
f24,-0.13521790515088933,-0.13521790515088933,0.03088343290755012,0.042506230238348555,down
f31,-0.135974021685987,-0.135974021685987,0.029949709559240697,0.042506230238348555,down
f37,-0.13596700761794342,-0.13596700761794342,0.029958259079237354,0.042506230238348555,down
f41,0.1383952779746299,0.1383952779746299,0.027120303429024422,0.042506230238348555,up
f43,0.1355770254347205,0.1355770254347205,0.03043690500903329,0.042506230238348555,up
f46,0.13654356401112547,0.13654356401112547,0.029262411308773814,0.042506230238348555,up
f48,0.13654356401112547,0.13654356401112547,0.029262411308773814,0.042506230238348555,up
f61,-0.135974021685987,-0.135974021685987,0.029949709559240697,0.042506230238348555,down
f78,0.1355770254347205,0.1355770254347205,0.03043690500903329,0.042506230238348555,up
f83,-0.13654356401112547,-0.13654356401112547,0.029262411308773814,0.042506230238348555,down
f85,-0.13521790515088933,-0.13521790515088933,0.03088343290755012,0.042506230238348555,down
f87,0.1383952779746299,0.1383952779746299,0.027120303429024422,0.042506230238348555,up
f90,-0.1355770254347205,-0.1355770254347205,0.03043690500903329,0.042506230238348555,down
f94,-0.1355770254347205,-0.1355770254347205,0.03043690500903329,0.042506230238348555,down
f97,0.13521790515088933,0.13521790515088933,0.03088343290755012,0.042506230238348555,up
f118,0.13521790515088933,0.13521790515088933,0.03088343290755012,0.042506230238348555,up
f122,-0.1383952779746299,-0.1383952779746299,0.027120303429024422,0.042506230238348555,down
f124,-0.1383952779746299,-0.1383952779746299,0.027120303429024422,0.042506230238348555,down
f29,0.13464836282575085,0.13464836282575085,0.03160305872132614,0.043033952301380275,up
f49,-0.09119621129578889,-0.09119621129578889,0.14645724569077215,0.1952763275876962,down
f88,0.09119621129578889,0.09119621129578889,0.14645724569077215,0.1952763275876962,up
f8,0.08950722371089546,0.08950722371089546,0.1541122578629692,0.19925625259050564,up
f74,0.08950722371089546,0.08950722371089546,0.1541122578629692,0.19925625259050564,up
f91,-0.08950722371089546,-0.08950722371089546,0.1541122578629692,0.19925625259050564,down
f2,0.0883779587558795,0.0883779587558795,0.15939657930874168,0.2000270799168523,up
f58,0.0883779587558795,0.0883779587558795,0.15939657930874168,0.2000270799168523,up
f110,0.0883779587558795,0.0883779587558795,0.15939657930874168,0.2000270799168523,up
f15,0.06259985588212387,0.06259985588212387,0.3193934204392001,0.365321284510417,up
f23,0.061863378737548255,0.061863378737548255,0.32513113658736637,0.365321284510417,up
f39,0.06316939820726236,0.06316939820726236,0.31500169413991014,0.365321284510417,up
f40,0.061863378737548255,0.061863378737548255,0.32513113658736637,0.365321284510417,up
f56,-0.06316939820726236,-0.06316939820726236,0.31500169413991014,0.365321284510417,down
f57,-0.061863378737548255,-0.061863378737548255,0.32513113658736637,0.365321284510417,down
f80,-0.061863378737548255,-0.061863378737548255,0.32513113658736637,0.365321284510417,down
f86,0.061863378737548255,0.061863378737548255,0.32513113658736637,0.365321284510417,up
f100,-0.06147059092710791,-0.06147059092710791,0.32821834155232776,0.365321284510417,down
f103,0.06147059092710791,0.06147059092710791,0.32821834155232776,0.365321284510417,up
f111,0.061863378737548255,0.061863378737548255,0.32513113658736637,0.365321284510417,up
f112,0.06316939820726236,0.06316939820726236,0.31500169413991014,0.365321284510417,up
f120,0.061863378737548255,0.061863378737548255,0.32513113658736637,0.365321284510417,up
f9,-0.0601645714573938,-0.0601645714573938,0.33861870312630765,0.36731520339124896,down
f72,-0.0601645714573938,-0.0601645714573938,0.33861870312630765,0.36731520339124896,down
f76,-0.060734113782532295,-0.060734113782532295,0.3340576186695855,0.36731520339124896,down
f11,0.014664312058707257,0.014664312058707257,0.8157363047872842,0.8157363047872842,up
f26,0.017829059559969374,0.017829059559969374,0.7769231223164548,0.8157363047872842,up
f32,-0.015970331528421366,-0.015970331528421366,0.7996585909026035,0.8157363047872842,down
f35,0.017829059559969374,0.017829059559969374,0.7769231223164548,0.8157363047872842,up
f55,0.016523040090255264,0.016523040090255264,0.7928794042164461,0.8157363047872842,up
f73,-0.015970331528421366,-0.015970331528421366,0.7996585909026035,0.8157363047872842,down
f89,0.014664312058707257,0.014664312058707257,0.8157363047872842,0.8157363047872842,up
f96,-0.016523040090255264,-0.016523040090255264,0.7928794042164461,0.8157363047872842,down
f113,0.014664312058707257,0.014664312058707257,0.8157363047872842,0.8157363047872842,up
f127,0.016523040090255264,0.016523040090255264,0.7928794042164461,0.8157363047872842,up
