feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f0,-0.3658525732641396,-0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,down
f1,-0.3658525732641396,-0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,down
f4,-0.36261587270240747,-0.36261587270240747,7.899289908864866e-08,2.1538337738470723e-07,down
f5,-0.36183956061365485,-0.36183956061365485,8.458154947321926e-08,2.1538337738470723e-07,down
f8,0.3666685690379403,0.3666685690379403,5.5121627066217435e-08,2.1538337738470723e-07,up
f10,0.3610235648398542,0.3610235648398542,9.086486233417336e-08,2.1538337738470723e-07,up
f11,0.3658525732641396,0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,up
f16,-0.3658525732641396,-0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,down
f20,-0.3666685690379403,-0.3666685690379403,5.5121627066217435e-08,2.1538337738470723e-07,down
f26,0.3620057360447936,0.3620057360447936,8.335418528643482e-08,2.1538337738470723e-07,up
f28,0.36183956061365485,0.36183956061365485,8.458154947321926e-08,2.1538337738470723e-07,up
f35,-0.36261587270240747,-0.36261587270240747,7.899289908864866e-08,2.1538337738470723e-07,down
f36,0.366425506467021,0.366425506467021,5.633199415860834e-08,2.1538337738470723e-07,up
f40,0.3705823724758049,0.3705823724758049,3.875714437782552e-08,2.1538337738470723e-07,up
f47,-0.3697663767020042,-0.3697663767020042,4.172657993134678e-08,2.1538337738470723e-07,down
f49,-0.3649373682777187,-0.3649373682777187,6.431893591579606e-08,2.1538337738470723e-07,down
f52,-0.3711925091334187,-0.3711925091334187,3.667085639329394e-08,2.1538337738470723e-07,down
f53,0.3666685690379403,0.3666685690379403,5.5121627066217435e-08,2.1538337738470723e-07,up
f54,0.36960020127086546,0.36960020127086546,4.235757231205696e-08,2.1538337738470723e-07,up
f56,-0.366425506467021,-0.366425506467021,5.633199415860834e-08,2.1538337738470723e-07,down
f57,-0.3632880151179089,-0.3632880151179089,7.444241109207973e-08,2.1538337738470723e-07,down
f60,0.36118974027099293,0.36118974027099293,8.954996867708002e-08,2.1538337738470723e-07,up
f63,0.3658525732641396,0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,up
f64,-0.3666685690379403,-0.3666685690379403,5.5121627066217435e-08,2.1538337738470723e-07,down
f65,-0.3625117030291563,-0.3625117030291563,7.972164783986845e-08,2.1538337738470723e-07,down
f68,0.3697663767020042,0.3697663767020042,4.172657993134678e-08,2.1538337738470723e-07,up
f69,0.3683179221977501,0.3683179221977501,4.754504602919599e-08,2.1538337738470723e-07,up
f72,0.36118974027099293,0.36118974027099293,8.954996867708002e-08,2.1538337738470723e-07,up
f73,-0.36899006461325157,-0.36899006461325157,4.475404629856357e-08,2.1538337738470723e-07,down
f75,0.366425506467021,0.366425506467021,5.633199415860834e-08,2.1538337738470723e-07,up
f76,-0.36118974027099293,-0.36118974027099293,8.954996867708002e-08,2.1538337738470723e-07,down
f81,-0.36261587270240747,-0.36261587270240747,7.899289908864866e-08,2.1538337738470723e-07,down
f83,-0.3705823724758049,-0.3705823724758049,3.875714437782552e-08,2.1538337738470723e-07,down
f87,0.3651804308486381,0.3651804308486381,6.29438707034628e-08,2.1538337738470723e-07,up
f89,-0.3610235648398542,-0.3610235648398542,9.086486233417336e-08,2.1538337738470723e-07,down
f90,0.366425506467021,0.366425506467021,5.633199415860834e-08,2.1538337738470723e-07,up
f91,-0.36261587270240747,-0.36261587270240747,7.899289908864866e-08,2.1538337738470723e-07,down
f99,0.3657533640515194,0.3657533640515194,5.981359754744963e-08,2.1538337738470723e-07,up
f100,0.3658525732641396,0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,up
f102,0.3666685690379403,0.3666685690379403,5.5121627066217435e-08,2.1538337738470723e-07,up
f104,-0.3649373682777187,-0.3649373682777187,6.431893591579606e-08,2.1538337738470723e-07,down
f105,-0.3657533640515194,-0.3657533640515194,5.981359754744963e-08,2.1538337738470723e-07,down
f107,0.36457029419102427,0.36457029419102427,6.645046056909762e-08,2.1538337738470723e-07,up
f109,-0.36118974027099293,-0.36118974027099293,8.954996867708002e-08,2.1538337738470723e-07,down
f110,0.36183956061365485,0.36183956061365485,8.458154947321926e-08,2.1538337738470723e-07,up
f111,0.36899006461325157,0.36899006461325157,4.475404629856357e-08,2.1538337738470723e-07,up
f113,0.3697663767020042,0.3697663767020042,4.172657993134678e-08,2.1538337738470723e-07,up
f115,-0.3632880151179089,-0.3632880151179089,7.444241109207973e-08,2.1538337738470723e-07,down
f120,0.3620057360447936,0.3620057360447936,8.335418528643482e-08,2.1538337738470723e-07,up
f122,-0.3658525732641396,-0.3658525732641396,5.928699285808227e-08,2.1538337738470723e-07,down
f123,0.3632880151179089,0.3632880151179089,7.444241109207973e-08,2.1538337738470723e-07,up
f124,-0.366425506467021,-0.366425506467021,5.633199415860834e-08,2.1538337738470723e-07,down
f125,-0.3711925091334187,-0.3711925091334187,3.667085639329394e-08,2.1538337738470723e-07,down
f127,-0.3697663767020042,-0.3697663767020042,4.172657993134678e-08,2.1538337738470723e-07,down
f38,0.3604134281822403,0.3604134281822403,9.585363312147679e-08,2.190940185633755e-07,up
f66,-0.3604134281822403,-0.3604134281822403,9.585363312147679e-08,2.190940185633755e-07,down
f48,0.3090205758146913,0.3090205758146913,5.8847227894897665e-06,1.2986974431977416e-05,up
f79,-0.3090205758146913,-0.3090205758146913,5.8847227894897665e-06,1.2986974431977416e-05,down
f44,0.30841043915707744,0.30841043915707744,6.152457317781862e-06,1.312524227793464e-05,up
f71,0.30841043915707744,0.30841043915707744,6.152457317781862e-06,1.312524227793464e-05,up
f43,-0.3069223009677753,-0.3069223009677753,6.854829514053172e-06,1.4383904554078787e-05,down
f23,0.30449663571921276,0.30449663571921276,8.165367452948713e-06,1.5835864151173264e-05,up
f25,0.30449663571921276,0.30449663571921276,8.165367452948713e-06,1.5835864151173264e-05,up
f82,0.30449663571921276,0.30449663571921276,8.165367452948713e-06,1.5835864151173264e-05,up
f98,0.30449663571921276,0.30449663571921276,8.165367452948713e-06,1.5835864151173264e-05,up
f112,-0.30449663571921276,-0.30449663571921276,8.165367452948713e-06,1.5835864151173264e-05,down
f3,-0.30300849752991066,-0.30300849752991066,9.08353360630122e-06,1.6866834484051047e-05,down
f15,0.3023983608722968,0.3023983608722968,9.487594397278714e-06,1.6866834484051047e-05,up
f27,0.3023983608722968,0.3023983608722968,9.487594397278714e-06,1.6866834484051047e-05,up
f42,-0.3023983608722968,-0.3023983608722968,9.487594397278714e-06,1.6866834484051047e-05,down
f88,0.30300849752991066,0.30300849752991066,9.08353360630122e-06,1.6866834484051047e-05,up
f97,-0.3023983608722968,-0.3023983608722968,9.487594397278714e-06,1.6866834484051047e-05,down
f84,0.21609874704435086,0.21609874704435086,0.001764030327234293,0.003093094272410815,up
f32,-0.21218494360648626,-0.21218494360648626,0.0021452509691248095,0.0035661314811425405,down
f34,-0.21218494360648626,-0.21218494360648626,0.0021452509691248095,0.0035661314811425405,down
f103,-0.21218494360648626,-0.21218494360648626,0.0021452509691248095,0.0035661314811425405,down
f116,-0.21218494360648626,-0.21218494360648626,0.0021452509691248095,0.0035661314811425405,down
f6,-0.20962038546025563,-0.20962038546025563,0.0024342205086955036,0.003799758842841762,down
f86,-0.20962038546025563,-0.20962038546025563,0.0024342205086955036,0.003799758842841762,down
f93,0.20962038546025563,0.20962038546025563,0.0024342205086955036,0.003799758842841762,up
f108,0.20962038546025563,0.20962038546025563,0.0024342205086955036,0.003799758842841762,up
f119,0.20962038546025563,0.20962038546025563,0.0024342205086955036,0.003799758842841762,up
f39,-0.208844073371503,-0.208844073371503,0.002528419909347153,0.003807502922311007,down
f67,-0.208844073371503,-0.208844073371503,0.002528419909347153,0.003807502922311007,down
f95,0.208844073371503,0.208844073371503,0.002528419909347153,0.003807502922311007,up
f78,0.17691854875034133,0.17691854875034133,0.010767676366546398,0.01584209856227516,up
f85,-0.17691854875034133,-0.17691854875034133,0.010767676366546398,0.01584209856227516,down
f106,-0.17563626967722598,-0.17563626967722598,0.011361713071042221,0.016340441270712408,down
f118,0.17563626967722598,0.17563626967722598,0.011361713071042221,0.016340441270712408,up
f12,-0.17307171153099532,-0.17307171153099532,0.012637014318003011,0.016399513260449906,down
f13,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f19,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f22,0.17225571575719467,0.17225571575719467,0.013068362129421017,0.016399513260449906,up
f24,-0.17435399060411064,-0.17435399060411064,0.011984443371392064,0.016399513260449906,down
f29,0.17225571575719467,0.17225571575719467,0.013068362129421017,0.016399513260449906,up
f30,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f45,0.17435399060411064,0.17435399060411064,0.011984443371392064,0.016399513260449906,up
f51,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f59,0.17307171153099532,0.17307171153099532,0.012637014318003011,0.016399513260449906,up
f92,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f94,-0.17225571575719467,-0.17225571575719467,0.013068362129421017,0.016399513260449906,down
f114,-0.17307171153099532,-0.17307171153099532,0.012637014318003011,0.016399513260449906,down
f74,-0.15392681372562342,-0.15392681372562342,0.026799585301046036,0.03330433901489216,down
f2,0.15001301028775885,0.15001301028775885,0.03096943822743012,0.03571250534334284,up
f7,-0.15001301028775885,-0.15001301028775885,0.03096943822743012,0.03571250534334284,down
f9,-0.15001301028775885,-0.15001301028775885,0.03096943822743012,0.03571250534334284,down
f17,0.15082900606155952,0.15082900606155952,0.030057149864764907,0.03571250534334284,up
f31,-0.15082900606155952,-0.15082900606155952,0.030057149864764907,0.03571250534334284,down
f70,-0.15082900606155952,-0.15082900606155952,0.030057149864764907,0.03571250534334284,down
f77,-0.15082900606155952,-0.15082900606155952,0.030057149864764907,0.03571250534334284,down
f121,-0.15001301028775885,-0.15001301028775885,0.03096943822743012,0.03571250534334284,down
f14,-0.11633892329416716,-0.11633892329416716,0.09504543410647502,0.10671768040025266,down
f18,0.11633892329416716,0.11633892329416716,0.09504543410647502,0.10671768040025266,up
f62,-0.11633892329416716,-0.11633892329416716,0.09504543410647502,0.10671768040025266,down
f41,0.11424064844725117,0.11424064844725117,0.10120198525052926,0.11167115613851504,up
f126,0.11424064844725117,0.11424064844725117,0.10120198525052926,0.11167115613851504,up
f46,0.11346433635849856,0.11346433635849856,0.10355810887931229,0.11329434133805105,up
f21,0.03793884302110002,0.03793884302110002,0.587312279323502,0.6111867622228314,up
f33,0.03810501845223876,0.03810501845223876,0.5856751548400467,0.6111867622228314,up
f37,-0.03793884302110002,-0.03793884302110002,0.587312279323502,0.6111867622228314,down
f58,-0.03793884302110002,-0.03793884302110002,0.587312279323502,0.6111867622228314,down
f96,-0.03793884302110002,-0.03793884302110002,0.587312279323502,0.6111867622228314,down
f101,0.03793884302110002,0.03793884302110002,0.587312279323502,0.6111867622228314,up
f55,-0.037328706363486154,-0.037328706363486154,0.5933411705034135,0.6124812082615881,down
f117,0.022640782435074138,0.022640782435074138,0.7460795308490682,0.7639854395894459,up
f50,-0.02007622428884347,-0.02007622428884347,0.7740155362247252,0.7740155362247252,down
f61,0.02007622428884347,0.02007622428884347,0.7740155362247252,0.7740155362247252,up
f80,-0.02007622428884347,-0.02007622428884347,0.7740155362247252,0.7740155362247252,down
