feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f2,-0.6628538228553419,-0.6628538228553419,1.211807562359262e-33,1.5511136798198554e-31,down
f121,0.5239155331146159,0.5239155331146159,2.2278131836545075e-19,1.4258004375388848e-17,up
f4,-0.4489081346292864,-0.4489081346292864,4.7620128216115676e-14,2.0317921372209354e-12,down
f112,-0.43931404716396066,-0.43931404716396066,1.8622605025708762e-13,5.959233608226804e-12,down
f111,-0.30407637539936805,-0.30407637539936805,7.438419756916128e-07,1.9042354577705286e-05,down
f90,0.2878776625050138,0.2878776625050138,2.9572307428829532e-06,6.3087589181503e-05,up
f101,-0.2782191220064442,-0.2782191220064442,6.472284466778338e-06,0.0001035565514684534,down
f119,-0.27979278988553186,-0.27979278988553186,5.70816541110263e-06,0.0001035565514684534,down
f74,0.2721134644415166,0.2721134644415166,1.0461638163226646e-05,0.00014878774276589008,up
f122,0.26443775995442514,0.26443775995442514,1.8824958797085547e-05,0.000240959472602695,up
f79,-0.25315558237121943,-0.25315558237121943,4.3226348141786384e-05,0.0005029975056498779,down
f124,0.24481869114984037,0.24481869114984037,7.798234483437025e-05,0.0008318116782332826,up
f55,0.21046377604812033,0.21046377604812033,0.0007188478380534728,0.007077886405449578,up
f117,0.2066103536898022,0.2066103536898022,0.0009034810586851687,0.008260398250835828,up
f11,0.20265192358069364,0.20265192358069364,0.0011378352995997378,0.009709527889917764,up
f28,0.19819090465056027,0.19819090465056027,0.0014680909769852885,0.011744727815882308,up
f81,0.18402644535600218,0.18402644535600218,0.0031833000681501856,0.023968376983719043,up
f106,0.1826533784904936,0.1826533784904936,0.0034216755910329863,0.024331915314012346,up
f39,0.17853852304227644,0.17853852304227644,0.0042358874525448495,0.02853650494346004,up
f98,-0.17548750473827454,-0.17548750473827454,0.004948231823626262,0.03166868367120808,down
f45,0.17364950700374884,0.17364950700374884,0.005427664079447727,0.03308290486520519,up
f3,-0.17073391248869738,-0.17073391248869738,0.0062740677053986635,0.036503666649592224,down
f107,-0.16613529719545927,-0.16613529719545927,0.007850482649477263,0.04186924079721207,down
f109,0.1663807980748936,0.1663807980748936,0.007758155875615392,0.04186924079721207,up
f110,0.16409090491627643,0.16409090491627643,0.008658120042278995,0.04432957461646845,up
f91,-0.16071834563744022,-0.16071834563744022,0.01015256977189761,0.04998188195395747,down
f63,0.15947201226426502,0.15947201226426502,0.010760102176606052,0.05101085476316943,up
f118,-0.1527116856875126,-0.1527116856875126,0.014648150683982675,0.06696297455534937,down
f54,0.15156601491681929,0.15156601491681929,0.015416874474507106,0.06804689423230723,up
f85,-0.14597670580922686,-0.14597670580922686,0.019694667276930644,0.08403058038157075,down
f25,0.14506856981273544,0.14506856981273544,0.0204792173457072,0.0845593490403394,up
f76,0.14421547236148594,0.14421547236148594,0.021240757370349868,0.08496302948139947,up
f9,0.1385052232926383,0.1385052232926383,0.026997461245531852,0.10471742543721446,up
f21,0.13666360460118876,0.13666360460118876,0.02911928581001681,0.1096255465788868,up
f88,0.1356214931985164,0.1356214931985164,0.030381999555322864,0.11111131265946647,up
f52,0.1347756376611145,0.1347756376611145,0.031441016486037,0.11179028083924265,up
f97,0.12729184389098494,0.12729184389098494,0.042258034601061194,0.1461899575388063,up
f53,-0.11775279497090113,-0.11775279497090113,0.06042762741871074,0.2035456923577625,down
f24,-0.11517757040668779,-0.11517757040668779,0.06631066011446253,0.204594606696063,down
f62,-0.11483285530754112,-0.11483285530754112,0.06713260532214567,0.204594606696063,down
f82,0.11498493549834111,0.11498493549834111,0.06676896057426687,0.204594606696063,up
