feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,0.8100210575766619,0.8100210575766619,2.0693145042644467e-49,2.648722565458492e-47,up
f0,0.7942749592964905,0.7942749592964905,3.0192509724972965e-46,1.9323206223982697e-44,up
f52,0.655273743724532,0.655273743724532,8.946330252240846e-27,3.817100907622761e-25,up
f125,0.5982898679924757,0.5982898679924757,1.7405643413815753e-21,5.569805892421041e-20,up
f43,0.5678858565354193,0.5678858565354193,4.524233390894921e-19,1.1582037480690998e-17,up
f31,0.5340373908015709,0.5340373908015709,1.1668664273450783e-16,2.4893150450028337e-15,up
f64,-0.5270001434427043,-0.5270001434427043,3.4291413063330693e-16,6.270429817294755e-15,down
f49,0.5117266901244757,0.5117266901244757,3.271416594565166e-15,5.234266551304266e-14,up
f37,0.5076099480512651,0.5076099480512651,5.8948972139413535e-15,8.383853815383258e-14,up
f40,0.48557006776179606,0.48557006776179606,1.2097953398700414e-13,1.548538035033653e-12,up
f24,0.4759280454184254,0.4759280454184254,4.244724843304909e-13,4.939316181300258e-12,up
f22,-0.44589692233428124,-0.44589692233428124,1.660837050005421e-11,1.7715595200057825e-10,down
f101,-0.44233406919455726,-0.44233406919455726,2.5069355346095977e-11,2.4683672956156037e-10,down
f98,0.4380363265607725,0.4380363265607725,4.0935317343969164e-11,3.7426575857343235e-10,up
f58,-0.4259460334770032,-0.4259460334770032,1.5681831251699532e-10,1.33818293347836e-09,down
f68,-0.41977023991395224,-0.41977023991395224,3.051833566138738e-10,2.4414668529109905e-09,down
f86,-0.41572290407073637,-0.41572290407073637,4.687173809606765e-10,3.5291661625274466e-09,down
f106,-0.4087713938195102,-0.4087713938195102,9.665876366245757e-10,6.873512082663649e-09,down
f54,-0.4032420308299385,-0.4032420308299385,1.6988970054502687e-09,1.1445200878822863e-08,down
f29,-0.4014606042600765,-0.4014606042600765,2.032949532861433e-09,1.3010877010313172e-08,down
f30,0.39858364798147583,0.39858364798147583,2.710572321645486e-09,1.6521583674791534e-08,up
f116,0.39578018065228127,0.39578018065228127,3.5781730748575405e-09,2.081846152644387e-08,up
f34,-0.39197100344139985,-0.39197100344139985,5.196768662730423e-09,2.7716099534562255e-08,down
f78,0.392399688979602,0.392399688979602,4.984209745720798e-09,2.7716099534562255e-08,up
f13,0.3813790683816322,0.3813790683816322,1.4312218214800545e-08,7.32785572597788e-08,up
f18,-0.379884793077042,-0.379884793077042,1.646374928375982e-08,8.105230416620219e-08,down
f14,-0.37535433543680474,-0.37535433543680474,2.5065319058304145e-08,1.188281792393678e-07,down
f96,0.3598821897738857,0.3598821897738857,1.0041071410192478e-07,4.590204073230847e-07,up
f36,0.3582436583834244,0.3582436583834244,1.1581515605293958e-07,5.111841370612506e-07,up
f19,-0.35123907277984934,-0.35123907277984934,2.1127420300173863e-07,9.014365994740848e-07,down
f33,0.3504687997175561,0.3504687997175561,2.2551413811336796e-07,9.311551509197128e-07,up
f2,-0.3496223158929158,-0.3496223158929158,2.422238239497809e-07,9.688952957991236e-07,down
f110,-0.34799603266068885,-0.34799603266068885,2.7771717903203363e-07,1.0772060277606152e-06,down
f42,0.34051104707303337,0.34051104707303337,5.159887648108539e-07,1.9425459381114497e-06,up
f76,-0.3277171653440245,-0.3277171653440245,1.4337221389922648e-06,5.2433266797431394e-06,down
f17,0.3182629480935804,0.3182629480935804,2.9629690515580286e-06,1.0535001072206324e-05,up
f61,-0.3160269787625772,-0.3160269787625772,3.5053994727045456e-06,1.2126787365031942e-05,down
f48,0.3096810718907158,0.3096810718907158,5.607380429708909e-06,1.8888018289545798e-05,up
f115,-0.30899925774900394,-0.30899925774900394,5.893887789239884e-06,1.934404197494116e-05,down
f57,-0.3070694923738593,-0.3070694923738593,6.782103524732144e-06,2.170273127914286e-05,down
f92,-0.2998022518214811,-0.2998022518214811,1.1405290908646495e-05,3.5606761861140274e-05,down
f25,0.297155288736392,0.297155288736392,1.37352213023854e-05,4.185972206441265e-05,up
f80,0.2866844743524973,0.2866844743524973,2.8149978316214455e-05,8.379528429012675e-05,up
f11,0.27793384574729285,0.27793384574729285,5.019115402854762e-05,0.00014601062990122945,up
f89,-0.27681381972208546,-0.27681381972208546,5.39721967902369e-05,0.00015352091531445163,down
f27,0.2717321949613027,0.2717321949613027,7.474487536083421e-05,0.0002079857401344952,up
f109,0.27128037401310234,0.27128037401310234,7.691664828611741e-05,0.00020947512724729848,up
