feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,0.7541944166014691,0.7541944166014691,2.6308395312244555e-39,3.367474599967303e-37,up
f60,-0.6311043919211343,-0.6311043919211343,2.1345448916448895e-24,1.3661087306527293e-22,down
f0,-0.5541425881248643,-0.5541425881248643,4.652659846729019e-18,1.9851348679377147e-16,down
f40,0.5372451497559166,0.5372451497559166,7.079140854961094e-17,2.2653250735875502e-15,up
f46,-0.5091087777070529,-0.5091087777070529,4.76172424400744e-15,1.2190014064659045e-13,down
f74,0.44934556854554436,0.44934556854554436,1.1098283314342044e-11,2.367633773726303e-10,up
f27,0.4444979261461372,0.4444979261461372,1.9533893915128343e-11,3.571912030194897e-10,up
f62,-0.41163039598016554,-0.41163039598016554,7.191762168417146e-10,1.1506819469467434e-08,down
f44,0.4081141960168069,0.4081141960168069,1.0341583064102012e-09,1.4708029246722861e-08,up
f29,-0.39225608000332307,-0.39225608000332307,5.054463783875501e-09,6.469713643360641e-08,down
f47,-0.37788110688655663,-0.37788110688655663,1.9842968356169192e-08,2.308999954172415e-07,down
f26,0.3766580219224145,0.3766580219224145,2.2224377913238103e-08,2.3706003107453976e-07,up
f77,-0.3684770327934905,-0.3684770327934905,4.686960721328692e-08,4.61485363330825e-07,down
f102,0.36654285191996344,0.36654285191996344,5.574449696515197e-08,5.09663972252818e-07,up
f98,-0.3609597331799925,-0.3609597331799925,9.137485792518572e-08,7.797321209615848e-07,down
f59,-0.355522897027095,-0.355522897027095,1.4652927555161575e-07,1.172234204412926e-06,down
f115,0.3484864336951811,0.3484864336951811,2.6652032502082033e-07,2.006741270745e-06,up
f37,0.34631386638346023,0.34631386638346023,3.1965232306120945e-07,2.273083186213045e-06,up
f123,-0.3454727415077878,-0.3454727415077878,3.42833587115072e-07,2.309615744775222e-06,down
f80,0.3389306591414462,0.3389306591414462,5.86883727611732e-07,3.7560558567150846e-06,up
f95,0.328738284440262,0.328738284440262,1.3236525616951139e-06,8.067977518903551e-06,up
f2,0.32600225827462853,0.32600225827462853,1.638489956601441e-06,9.53303247477202e-06,up
f72,-0.3059317455407882,-0.3059317455407882,7.363858929276106e-06,4.09814757803192e-05,down
f97,0.2954495146022547,0.2954495146022547,1.5468234431180863e-05,8.249725029963127e-05,up
f11,-0.2931794255658182,-0.2931794255658182,1.8097188024361786e-05,8.940177885233674e-05,down
f41,-0.2931293102350615,-0.2931293102350615,1.81597363293809e-05,8.940177885233674e-05,down
