feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,-0.7466460698017133,-0.7466460698017133,3.7918914114375006e-38,4.853621006640001e-36,down
f54,0.6423305357395405,0.6423305357395405,1.78417046507677e-25,1.1418690976491327e-23,up
f57,0.6203900617369481,0.6203900617369481,2.0781871503220905e-23,8.866931841374253e-22,up
f0,-0.6096319786226786,-0.6096319786226786,1.8731480487621636e-22,5.9940737560389235e-21,down
f61,-0.6018449267578831,-0.6018449267578831,8.73742719137257e-22,2.236781360991378e-20,down
f126,-0.5436262891261053,-0.5436262891261053,2.57811532059091e-17,5.499979350593941e-16,down
f2,-0.5401846994908794,-0.5401846994908794,4.4570954691743193e-17,8.150117429347327e-16,down
f112,0.5062666773704358,0.5062666773704358,7.131500133432307e-15,1.141040021349169e-13,up
f75,0.5050464774088557,0.5050464774088557,8.47216082657675e-15,1.2049295397798044e-13,up
f118,0.5015137468623412,0.5015137468623412,1.389699946815042e-14,1.7788159319232538e-13,up
f52,-0.4903442241371081,-0.4903442241371081,6.403251870888195e-14,7.451056722488082e-13,down
f66,-0.48144234169721944,-0.48144234169721944,2.0805429745349464e-13,2.2192458395039427e-12,down
f99,0.4800058521103426,0.4800058521103426,2.5083177783981047e-13,2.469728274115057e-12,up
f83,-0.475992931389427,-0.475992931389427,4.2095709076203536e-13,3.848750544110038e-12,down
f35,-0.46798613431711883,-0.46798613431711883,1.159355051927278e-12,9.893163109779438e-12,down
f110,0.43546243210817975,0.43546243210817975,5.472853215440683e-11,4.3782825723525466e-10,up
f33,0.43072174440906424,0.43072174440906424,9.284148663663314e-11,6.990417817346495e-10,up
f63,0.4262762444375552,0.4262762444375552,1.512760298013456e-10,1.0757406563651243e-09,up
f127,-0.41040956400068757,-0.41040956400068757,8.162336911657571e-10,5.498837498379837e-09,down
f29,-0.40549747697586525,-0.40549747697586525,1.3514542984156642e-09,8.649307509860252e-09,down
f36,-0.39593040191478074,-0.39593040191478074,3.5255553892596497e-09,2.1489099515487387e-08,down
f25,-0.3907979443283352,-0.3907979443283352,5.824135543076738e-09,3.3885879523355566e-08,down
f10,0.3786068272094046,0.3786068272094046,1.8548295255749786e-08,1.0322529533634663e-07,up
f88,-0.376947246436687,-0.376947246436687,2.163755145605292e-08,1.1540027443228223e-07,down
f125,-0.36679523716882495,-0.36679523716882495,5.450081899038158e-08,2.790441932307537e-07,down
f98,-0.3660701908148426,-0.3660701908148426,5.814744722629582e-08,2.862643555756102e-07,down
f114,0.36138391560007843,0.36138391560007843,8.803668334979904e-08,4.1735909143608434e-07,up
