feature,aim1_effect_coding_minus_other,aim2_effect_sweep_minus_control,in_top200_both
0,-4.010724e-07,1.1926113e-07,False
1,7.402351e-05,-0.0003467095,False
2,4.871569e-07,-1.4429903e-05,False
3,-5.969925e-07,7.7669665e-07,False
4,0.0,0.0,False
5,2.3027353e-06,3.742418e-05,False
6,0.0,0.0,False
7,1.00690595e-05,1.5929341e-05,False
8,1.4144075e-06,0.00012470788,False
9,-9.522453e-09,1.7087771e-07,False
10,3.3152423e-06,-2.6345859e-08,False
11,0.0,0.0,False
12,0.0,0.0,False
13,2.9566588e-06,1.0747477e-05,False
14,0.0,0.0,False
15,0.0,0.0,False
16,-6.904265e-09,0.0,False
17,0.0,0.0,False
18,0.0,0.0,False
19,4.72751e-09,4.2518144e-07,False
20,-1.2747266e-08,-3.983335e-07,False
21,0.0,0.0,False
22,0.0,0.0,False
23,-8.5419714e-07,2.4438123e-08,False
24,0.0,0.0,False
25,0.0,0.0,False
26,0.0,0.0,False
27,0.0,0.0,False
28,0.0,0.0,False
29,-3.4418385e-06,5.6058903e-05,False
30,-1.3851133e-05,4.667214e-06,False
31,0.0,0.0,False
32,0.0,0.0,False
33,0.0,0.0,False
34,6.364919e-07,-2.3627133e-05,False
35,2.2516004e-05,-0.00012482563,False
36,1.0023302e-05,5.9093756e-05,False
37,0.0,0.0,False
38,0.0,0.0,False
39,0.0,0.0,False
40,0.0,0.0,False
41,0.0,0.0,False
42,1.2025369e-07,-2.4896742e-06,False
43,-2.7782153e-06,8.623521e-06,False
44,0.0,0.0,False
45,0.0,0.0,False
46,0.0,0.0,False
47,-0.00024078744,0.000767963,False
48,3.5509347e-06,-1.2736235e-05,False
49,3.7047356e-09,0.0,False
50,0.0,0.0,False
51,-2.690651e-07,7.349854e-07,False
52,4.0750356e-06,5.2914984e-06,False
53,0.0,0.0,False
54,8.1547356e-08,3.3946844e-07,False
55,0.0,0.0,False
56,-8.172204e-07,-4.4479893e-06,False
57,-4.996829e-07,2.134825e-06,False
58,1.1145163e-06,-1.2704186e-07,False
59,-4.1454433e-07,3.6037063e-06,False
