feature	feature_idx	spearman_af	p	q
f2234	2234	0.30838445240457507	6.894319693947172e-17	2.2591306773126095e-12
f27780	27780	0.3027464660396981	2.6442430709626575e-16	4.332327847465218e-12
f32022	32022	0.2960474426277823	1.2577602934370884e-15	1.373809643178217e-11
f11571	11571	-0.2857427373029057	1.2800145046460858e-14	1.0485878822060735e-10
f15491	15491	0.28394842917456914	1.898786485707293e-14	1.2443887112731316e-10
f27739	27739	0.27381503869098495	1.6698189906131214e-13	9.11943811406846e-10
f6174	6174	0.2730264859626126	1.9702312880497451e-13	9.222934120973436e-10
f7828	7828	-0.26085995356083913	2.3642446548084262e-12	9.683946106095314e-09
f12514	12514	-0.2602217354552045	2.684061426782592e-12	9.772369425867997e-09
f11402	11402	-0.2583472314331132	3.888331562756971e-12	1.2741284864842043e-08
f25333	25333	0.25598567362064006	6.176347202777129e-12	1.8398776830963726e-08
f29926	29926	0.2548592535194367	7.689080292700952e-12	2.0996315252602066e-08
f10683	10683	0.2507485612220163	1.695034805202417e-11	4.2725308074517544e-08
f17179	17179	0.2500358288450889	1.9412483132518844e-11	4.330946152685158e-08
f7726	7726	0.2496593528492387	2.0850687064469927e-11	4.330946152685158e-08
f24410	24410	0.2495848987738172	2.1147198011157998e-11	4.330946152685158e-08
f31183	31183	0.24878709727108758	2.459456087855579e-11	4.740673946285389e-08
f20003	20003	-0.2481263605933364	2.786019219769549e-11	5.071793210744921e-08
f16812	16812	-0.24726598266134278	3.275322161162073e-11	5.6487240303662534e-08
f3209	3209	0.24615344638068498	4.0338985398000946e-11	6.570339247694043e-08
f19922	19922	0.24568975556476044	4.398465810812837e-11	6.570339247694043e-08
f3006	3006	0.24567419910661945	4.4112385085836465e-11	6.570339247694043e-08
f9811	9811	0.24533898069272514	4.6954364148082095e-11	6.689567845236322e-08
f14842	14842	0.24244604997340588	8.017051521194113e-11	9.987902463042195e-08
f11534	11534	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f16793	16793	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f18018	18018	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f23790	23790	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f28391	28391	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f30062	30062	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f31336	31336	-0.24137629737545202	9.753810999064644e-11	9.987902463042195e-08
f25274	25274	-0.24172820572738993	9.145446421301318e-11	9.987902463042195e-08
f14278	14278	0.24003977454010597	1.2445136796778295e-10	1.2357643713843368e-07
f30516	30516	0.23942316139524536	1.3919042376691232e-10	1.341468178233583e-07
f10372	10372	0.23827132775843055	1.714161650872924e-10	1.6048471135943995e-07
f18723	18723	0.23808360876310672	1.7731565774801253e-10	1.6139665203019096e-07
f5332	5332	-0.23679114632545953	2.2365979995971097e-10	1.9807795473188673e-07
f3819	3819	0.23554033870889649	2.7965205851882495e-10	2.266736258988805e-07
f10171	10171	0.2354612476260037	2.836187335770905e-10	2.266736258988805e-07
f18977	18977	-0.23563903910673686	2.747776841887443e-10	2.266736258988805e-07
f22842	22842	-0.23575798161340616	2.6901357003333974e-10	2.266736258988805e-07
f5612	5612	0.2348347329791282	3.1703830127251237e-10	2.473502632404211e-07
f29459	29459	-0.2329858072554027	4.396168037251334e-10	3.3500845173174814e-07
f9830	9830	0.23272259492076033	4.604543056696711e-10	3.4291287927690413e-07
f9982	9982	0.23236223299383177	4.905493644725543e-10	3.5012177247877567e-07
f30248	30248	-0.23235115828269165	4.915039530646875e-10	3.5012177247877567e-07
f13839	13839	0.23083868496901058	6.403682505701678e-10	4.46459294354963e-07
f24343	24343	-0.23039606683350625	6.916786555564484e-10	4.721859621932021e-07
f2011	2011	-0.22992649715622038	7.504858944663844e-10	5.018759548953976e-07
f19638	19638	-0.22942327457224646	8.189080081900251e-10	5.366795522474149e-07
f30114	30114	0.2287201831219476	9.247621963623543e-10	5.941687774588554e-07
f8546	8546	-0.22741313976737434	1.1580267363637617e-09	7.297350018686105e-07
f9963	9963	0.22708606914935084	1.2248164589936875e-09	7.304441558054908e-07
f7779	7779	0.2270803061292626	1.2260262624909056e-09	7.304441558054908e-07
f30285	30285	-0.22717068831893913	1.207185903353498e-09	7.304441558054908e-07
f20400	20400	0.22641828806459724	1.373017778633407e-09	8.034115458974907e-07
f25514	25514	-0.22610101363518492	1.4494066059495162e-09	8.332308011184868e-07
f9650	9650	-0.22582641081854987	1.51884563468026e-09	8.580954096069442e-07
f874	874	0.22494196665126395	1.7652003200099355e-09	9.803743065438232e-07
f31713	31713	0.22464593279619163	1.8560242086975352e-09	9.970196929606694e-07
