feature	feature_idx	inv_vs_indel_mean_diff_raw	inv_vs_indel_cohen_d	p	q
f3159	3159	0.00035004714688381813	0.7940377835144415	3.896949260207555e-44	1.2769523335848116e-39
f29354	29354	0.00016613112115529866	0.7423817982670647	1.072513438489961e-39	1.757206017621952e-35
f16711	16711	4.144340903102212e-05	0.6849044381297216	3.2438336511903615e-34	3.5431313694068586e-30
f5032	5032	-0.0001293781826279883	-0.6762503806753226	2.220602683062441e-33	1.8191177179647516e-29
f28973	28973	-0.0001947912185070371	-0.6668223917525038	1.7531824885882924e-32	1.1489656757212234e-28
f25555	25555	-0.0001797076027885071	-0.6531651204600022	1.9502206536692907e-31	1.065080506323922e-27
f13626	13626	-0.00015407915554013535	-0.6512709393591509	3.419388586890353e-31	1.6006646459317584e-27
f18914	18914	0.0012616719271656101	0.6465811640245023	6.480579395301491e-31	2.6544453203154906e-27
f8800	8800	-0.00015900389455055118	-0.641203016002094	2.3785979970858035e-30	8.660211018723067e-27
f30117	30117	-0.00022120706782256352	-0.6343348151552312	8.742154652412471e-30	2.8646292365025186e-26
f10034	10034	-0.00019633263597175496	-0.6280243434396746	2.5071478674494502e-29	7.468565574598508e-26
f7697	7697	-0.0001994995148509458	-0.6274076927302265	3.034104054316044e-29	8.285126804319011e-26
f7264	7264	-0.0001380308852770083	-0.6260974447108403	4.1520600498462246e-29	1.0465746439489313e-25
f13992	13992	0.0006874673295949053	0.6198691930861585	8.13991926677909e-29	1.905206246670123e-25
f6358	6358	-0.0001968621140830302	-0.6208307521713694	1.0958894618541384e-28	2.3940070590690936e-25
f16644	16644	-0.00010469657025428855	-0.6168447778895556	1.474343489192549e-28	3.0194554658663406e-25
f12043	12043	-0.00014913218898332813	-0.6156901071939205	2.162800944655038e-28	4.168862432615075e-25
f5788	5788	-0.00020635976152334477	-0.6161706259542348	2.534049133731199e-28	4.613095667450218e-25
f11389	11389	-0.0002017534499464091	-0.6156943558270284	2.8472259598029333e-28	4.910415802674869e-25
f3053	3053	-0.0002556953517601609	-0.6141509813507485	3.695487523064632e-28	6.054686757789094e-25
f7493	7493	-0.00013489961460956171	-0.61222991723789	5.2465898410283275e-28	8.186678852896011e-25
f10017	10017	-0.0001973081629070553	-0.605523127364324	1.7166148562517383e-27	2.5568198004389527e-24
f13849	13849	0.004284913887469364	0.6038433882559877	2.0363134179080383e-27	2.7859282142888975e-24
f3828	3828	-0.00019668326943896578	-0.6047358567528702	2.040474766324876e-27	2.7859282142888975e-24
f3767	3767	0.00012299445639915317	0.6029269304423364	2.6021004381275443e-27	3.410625086262535e-24
f8	8	-0.0001794040839896687	-0.6012444098991415	3.5838934798845546e-27	4.516808521109888e-24
f17315	17315	-0.00014321512084279674	-0.5959107590329109	1.0022481756102136e-26	1.2163580821627955e-23
f16411	16411	-0.00016247142557404003	-0.5856240658153253	6.178688983917646e-26	7.230831450893337e-23
f11897	11897	-0.00023749536365877635	-0.5844698960532602	7.325715858321797e-26	8.277553698120298e-23
f2571	2571	-0.0001596401537764385	-0.5828601359855478	9.658107665080303e-26	1.0549229065645046e-22
f4893	4893	6.13025195447595e-05	0.5805608116110507	1.427481704085617e-25	1.5088942090154032e-22
f3783	3783	0.00016138166020547424	0.5804927036700083	1.513510433096619e-25	1.5498346834909378e-22
f10548	10548	-0.00019002665450638492	-0.5792085082232477	1.9002623374882518e-25	1.8869029174186373e-22
f12576	12576	0.0005084562878671152	0.5775767367864388	2.0547263206705203e-25	1.9802727081097532e-22
f10610	10610	-0.00020403000772993048	-0.5760768897048526	3.1997905978171424e-25	2.9957353802649177e-22
f27885	27885	-0.00020090505247935653	-0.5750967925913122	3.705611049409735e-25	3.37292952408495e-22
f4249	4249	-0.00021374366891645227	-0.5749265308420345	4.0639598608807866e-25	3.5991307221984222e-22
f30328	30328	0.0030498199069240533	0.5718952224788312	6.958902370729714e-25	5.961505442906506e-22
f20240	20240	-0.00014679239666812855	-0.5717559148886499	7.09529761576397e-25	5.961505442906506e-22
f32372	32372	-0.00019031643680916336	-0.5712263316466833	7.864917130824875e-25	6.442940113571737e-22
f16329	16329	-0.0001546378417905154	-0.5704353149271099	8.635104967103169e-25	6.760635600979457e-22
f32193	32193	-0.00013338968821439528	-0.5705219123540761	8.66536545535697e-25	6.760635600979457e-22
f24788	24788	0.0002055303074303083	0.5698359406739821	9.34024171033254e-25	7.117698613120388e-22
f1016	1016	-0.00016630095189611892	-0.5691736259643948	1.1268318872538872e-24	8.391824382167131e-22
f17020	17020	-0.00024212987246885728	-0.5672576641248885	1.5631385610334492e-24	1.1382427637320904e-21
f32256	32256	-0.00016931885142964476	-0.5658640263439059	1.9753027136074335e-24	1.4071025939019213e-21
f15806	15806	0.0001317652018302137	0.564110286946592	2.4542144676524536e-24	1.711057439915651e-21
f29009	29009	0.00017055893872436304	0.5632153569689098	2.9208669367289662e-24	1.9939784954736408e-21
f28822	28822	6.867108314119312e-05	0.5622292069469235	3.41563854298009e-24	2.284155995436155e-21
f19400	19400	-0.00012809497545926464	-0.5623824879748792	3.685200641268073e-24	2.4151330922614444e-21
f17395	17395	0.00020664428316065044	0.5615168921652836	4.0063973146623865e-24	2.574149553075629e-21
f1008	1008	8.631473360375301e-05	0.5613496444081577	4.2984283479666024e-24	2.7086711558878776e-21
f31315	31315	-7.489323561458149e-05	-0.5609060121622141	4.42413617796289e-24	2.7352847977261885e-21
f11986	11986	0.00016628688203646952	0.5605508716002143	4.574838623670631e-24	2.7760798522303564e-21
f25148	25148	0.0001590316082105606	0.5605811868485113	4.8588630542775426e-24	2.8705695497389967e-21
