feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f1731,1047.0,-0.00014349573229405758,1.2411499067203886e-05,0.35046965104443895,down
f2792,1126.0,-4.874674672347253e-05,2.1390969912380307e-05,0.35046965104443895,down
f12356,1121.0,-0.00014725325520210448,6.323096448907833e-05,0.44144727670422323,down
f25902,1456.0,-6.129749225135217e-06,6.507705664831557e-05,0.44144727670422323,down
f28603,1124.0,-0.00019220205215406754,6.735950877444813e-05,0.44144727670422323,down
f32047,2694.0,0.0008329527617822732,0.0001154968936385926,0.6307670351249004,up
f1930,2664.0,0.00036515573400162883,0.00021091543617632506,0.762772972286576,up
f9253,1192.0,-1.7386410593556526e-05,0.00021990319616813198,0.762772972286576,down
f12742,1202.0,-0.000570510316925544,0.0003236102539847876,0.762772972286576,down
f12813,1301.0,-2.3489650453895242e-05,0.00023516007733846204,0.762772972286576,down
f13192,1203.0,-4.1405782109992995e-05,0.00032589177282751664,0.762772972286576,down
f13849,1197.0,-0.0007530801231041551,0.00029390386008633303,0.762772972286576,down
f20554,2651.0,0.0025472330500281625,0.00027199884555094027,0.762772972286576,up
f21024,1169.0,-0.0004404144255527025,0.00016954567585165294,0.762772972286576,down
f7192,1211.5,-1.2239567754037243e-05,0.0003587140564108399,0.7836228133646935,down
f5962,1246.5,-9.510049594316496e-05,0.0004286885196191598,0.8779540881800393,down
f0,1894.0,-9.350995887577864e-07,0.759965831584325,1.0,down
f1,1722.0,-2.4015561071029243e-05,0.3187585629268399,1.0,down
f2,1714.0,1.6044308018359903e-08,0.13895401026297272,1.0,up
f3,1952.0,-4.824292010462452e-07,0.665341442777243,1.0,down
f4,1922.0,0.0,1.0,1.0,up
f5,1768.0,7.244651046236077e-07,0.355463175847609,1.0,up
f6,1922.0,0.0,1.0,1.0,up
f7,1974.5,6.335924662116374e-06,0.7942387798632827,1.0,up
f8,1941.0,1.2657298993285474e-05,0.9238072850908863,1.0,up
f9,1922.0,0.0,1.0,1.0,up
f10,2163.5,1.39491391065906e-05,0.03867961545200512,1.0,up
f11,1922.0,0.0,1.0,1.0,up
f12,1922.0,0.0,1.0,1.0,up
f13,1920.5,-1.4011736986445143e-06,0.9945536779157134,1.0,down
f14,1922.0,0.0,1.0,1.0,up
f15,1922.0,0.0,1.0,1.0,up
f16,1922.0,0.0,1.0,1.0,up
f17,1922.0,0.0,1.0,1.0,up
f18,1922.0,0.0,1.0,1.0,up
f19,1922.0,0.0,1.0,1.0,up
f20,1922.0,0.0,1.0,1.0,up
f21,1922.0,0.0,1.0,1.0,up
f22,1922.0,0.0,1.0,1.0,up
f23,1805.0,-6.352269514125862e-07,0.31756565919074853,1.0,down
f24,1922.0,0.0,1.0,1.0,up
f25,1922.0,0.0,1.0,1.0,up
f26,1922.0,0.0,1.0,1.0,up
f27,1922.0,0.0,1.0,1.0,up
f28,1922.0,0.0,1.0,1.0,up
f29,1671.0,9.958839068384541e-07,0.13759847574176504,1.0,up
f30,1970.0,-3.401576310763278e-05,0.790191117073512,1.0,down
f31,1922.0,0.0,1.0,1.0,up
f32,1922.0,0.0,1.0,1.0,up
f33,1922.0,0.0,1.0,1.0,up
f34,1659.0,-1.1607464418170088e-06,0.14353158944984554,1.0,down
f35,1788.0,-1.1384690937589886e-05,0.5041266274379599,1.0,down
