feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f4670,12746.5,6.470607565915997e-06,9.707977398469752e-05,0.7475043072614216,up
f10096,11524.0,2.1047673544671854e-06,0.0001140601054781222,0.7475043072614216,up
f10379,12663.0,6.589627159883093e-06,9.071987573685601e-05,0.7475043072614216,up
f16195,11835.0,2.403689272796328e-06,5.726163902788633e-05,0.7475043072614216,up
f29235,12741.5,1.0436982720420928e-05,2.4861511388545393e-05,0.7475043072614216,up
f15491,12695.0,2.253869410196785e-05,0.0001422268478460066,0.7767482250363241,up
f18382,12651.0,4.3984094518236815e-05,0.00018245884322214012,0.8541159106718696,up
f9452,12623.0,0.00012054898194037376,0.00021339347346712782,0.8740596673213555,up
f1098,11447.0,1.3853295877197524e-06,0.00034953575995823864,0.9544656485259636,up
f8270,12127.0,6.090634838074038e-06,0.0003301556512371349,0.9544656485259636,up
f10937,12531.0,3.25443366637046e-05,0.0003314741752081232,0.9544656485259636,up
f21372,11420.0,7.675009874219541e-07,0.0003242001016289546,0.9544656485259636,up
f0,9900.0,-7.931821801321348e-07,0.700695895213377,1.0,down
f1,9782.0,1.1614321010711137e-05,0.7587729692152909,1.0,up
f2,10440.5,-7.862386701162904e-07,0.2823441893773674,1.0,down
f3,9952.0,-2.918150130426511e-07,0.8204707708247676,1.0,down
f4,10000.0,0.0,1.0,1.0,up
f5,10450.0,2.8787810879293827e-06,0.42083152264762747,1.0,up
f6,10000.0,0.0,1.0,1.0,up
f7,10069.0,5.711163412343012e-06,0.9227539531047249,1.0,up
f8,10407.0,2.0310228137532247e-06,0.5504979977980428,1.0,up
f9,9900.0,-4.761226591654122e-08,0.15938513947751265,1.0,down
f10,10300.0,3.149580006720498e-06,0.32810661692613374,1.0,up
f11,10000.0,0.0,1.0,1.0,up
f12,10000.0,0.0,1.0,1.0,up
f13,10361.0,2.630023336678278e-06,0.47739503233766256,1.0,up
f14,10000.0,0.0,1.0,1.0,up
f15,10000.0,0.0,1.0,1.0,up
f16,9900.0,-3.9148362702690066e-08,0.15938513947751265,1.0,down
f17,10000.0,0.0,1.0,1.0,up
f18,10000.0,0.0,1.0,1.0,up
f19,10000.0,0.0,1.0,1.0,up
f20,9900.0,-1.3686985766980797e-08,0.15938513947751265,1.0,down
f21,10000.0,0.0,1.0,1.0,up
f22,10000.0,0.0,1.0,1.0,up
f23,9980.5,-1.072149407264078e-06,0.9589032284451269,1.0,down
f24,10000.0,0.0,1.0,1.0,up
f25,10000.0,0.0,1.0,1.0,up
f26,10000.0,0.0,1.0,1.0,up
f27,10000.0,0.0,1.0,1.0,up
f28,10000.0,0.0,1.0,1.0,up
f29,9779.5,-2.114667386194924e-06,0.7075594792360028,1.0,down
f30,10207.0,-1.2466740645322715e-05,0.7446851070077363,1.0,down
f31,10000.0,0.0,1.0,1.0,up
f32,10000.0,0.0,1.0,1.0,up
f33,10000.0,0.0,1.0,1.0,up
f34,9979.0,1.7699287263894804e-06,0.9743172263211377,1.0,up
f35,10604.0,1.673109166404174e-05,0.39373763103341197,1.0,up
f36,10151.5,2.8674106097241747e-05,0.7237983371839138,1.0,up
f37,10000.0,0.0,1.0,1.0,up
f38,10000.0,0.0,1.0,1.0,up
f39,10000.0,0.0,1.0,1.0,up
f40,10000.0,0.0,1.0,1.0,up
f41,10000.0,0.0,1.0,1.0,up
f42,10100.0,1.1511574484757148e-07,0.5623938452683113,1.0,up
f43,9826.5,2.762371350399917e-06,0.6725161441033759,1.0,up
f44,10000.0,0.0,1.0,1.0,up
f45,10000.0,0.0,1.0,1.0,up
f46,10000.0,0.0,1.0,1.0,up
f47,9806.0,-0.0002275730756809935,0.7847030331009683,1.0,down
f48,10314.0,4.975961633135739e-06,0.6374956476136217,1.0,up
f49,10050.0,3.704735718201846e-09,0.48390500144149584,1.0,up
f50,10000.0,0.0,1.0,1.0,up
f51,9491.0,-7.439542969223112e-07,0.24330989361852395,1.0,down
f52,10855.0,4.1642410360509525e-06,0.0652375147085284,1.0,up
f53,10000.0,0.0,1.0,1.0,up
f54,10152.5,1.1495289982121904e-07,0.3761864185339828,1.0,up
f55,10000.0,0.0,1.0,1.0,up
f56,9542.0,-1.0292964225300239e-06,0.45574378016508554,1.0,down
f57,10195.0,-1.1364309102646075e-07,0.3527555951873512,1.0,down
f58,10063.5,2.0495664830377793e-06,0.8439792565125518,1.0,up
f59,9625.5,1.4061944966670128e-07,0.4234004093829197,1.0,up
f60,9900.0,-7.627112427144311e-07,0.5623938452683113,1.0,down
f61,9852.0,-4.83272840938298e-06,0.8233213459999354,1.0,down
f62,10000.0,0.0,1.0,1.0,up
f63,9900.0,-4.928696034767199e-07,0.6345171631224933,1.0,down
f64,9850.5,-1.308715764025692e-07,0.13557085238694166,1.0,down
f65,10325.0,3.217125822175149e-05,0.6363854079704588,1.0,up
f66,10721.0,1.3388235211095888e-05,0.308714117978076,1.0,up
f67,10050.0,2.176614543714095e-08,0.48390500144149584,1.0,up
f68,10000.0,0.0,1.0,1.0,up
f69,10000.0,0.0,1.0,1.0,up
f70,10297.0,2.2791513401898555e-07,0.15660564971240973,1.0,up
f71,8534.0,-6.61860428226646e-05,0.038538170110005585,1.0,down
f72,10189.0,-1.3432156902126735e-06,0.7085686513573524,1.0,down
f73,10692.0,0.00041956824250519273,0.3289143490193076,1.0,up
f74,10040.5,-1.8571811415313275e-06,0.95495231027539,1.0,down
f75,10000.0,0.0,1.0,1.0,up
f76,10000.0,0.0,1.0,1.0,up
f77,10000.0,0.0,1.0,1.0,up
f78,10000.0,0.0,1.0,1.0,up
f79,10000.0,0.0,1.0,1.0,up
f80,10000.0,0.0,1.0,1.0,up
f81,10065.0,-7.87456810940057e-07,0.904200107765114,1.0,down
f82,10000.0,0.0,1.0,1.0,up
f83,10000.0,0.0,1.0,1.0,up
f84,10000.0,0.0,1.0,1.0,up
f85,10775.0,1.9737081493076403e-06,0.15998994907112474,1.0,up
f86,10000.0,0.0,1.0,1.0,up
f87,10000.0,0.0,1.0,1.0,up
f88,10000.0,0.0,1.0,1.0,up
f89,10050.0,4.422419806360267e-08,0.48390500144149584,1.0,up
f90,10000.0,0.0,1.0,1.0,up
f91,10000.0,0.0,1.0,1.0,up
f92,10000.0,0.0,1.0,1.0,up
f93,10000.0,0.0,1.0,1.0,up
f94,10870.5,1.4432754323934206e-06,0.1938984418066062,1.0,up
f95,10000.0,0.0,1.0,1.0,up
f96,10000.0,0.0,1.0,1.0,up
f97,10000.0,0.0,1.0,1.0,up
f98,10306.0,-4.3562638529692774e-06,0.6461057322520819,1.0,down
f99,10658.0,1.5050994807097596e-06,0.13507426590542773,1.0,up
f100,11858.0,0.002283559611532837,0.008727844669483727,1.0,up
f101,10000.0,0.0,1.0,1.0,up
f102,9499.0,-1.8939136680273806e-06,0.25530715652697955,1.0,down
f103,9306.5,-2.0081652992303133e-05,0.3278657795071763,1.0,down
f104,10582.0,3.287790241301991e-07,0.40455939406727115,1.0,up
f105,10000.0,0.0,1.0,1.0,up
f106,10781.0,-3.4288780170754767e-06,0.1549250926495431,1.0,down
f107,9991.0,9.8946387788601e-06,0.9904248928555524,1.0,up
f108,10000.0,0.0,1.0,1.0,up
f109,11963.5,1.701268863143923e-05,0.005523999937662281,1.0,up
f110,10000.0,0.0,1.0,1.0,up
f111,10098.0,-8.020697732717963e-06,0.855633369929302,1.0,down
f112,10000.0,0.0,1.0,1.0,up
f113,10000.0,0.0,1.0,1.0,up
f114,10000.0,0.0,1.0,1.0,up
f115,10609.0,3.3332147722830995e-06,0.1666590231957905,1.0,up
f116,10981.0,0.00045504287219955586,0.16625709574413694,1.0,up
f117,10247.0,-2.875610334740487e-08,0.11653942495852468,1.0,down
f118,10000.0,0.0,1.0,1.0,up
f119,10000.0,0.0,1.0,1.0,up
f120,10000.0,0.0,1.0,1.0,up
f121,10000.0,0.0,1.0,1.0,up
f122,10000.0,0.0,1.0,1.0,up
f123,10000.0,0.0,1.0,1.0,up
f124,10000.0,0.0,1.0,1.0,up
f125,10000.0,0.0,1.0,1.0,up
f126,10000.0,0.0,1.0,1.0,up
f127,10000.0,0.0,1.0,1.0,up
f128,10000.0,0.0,1.0,1.0,up
f129,10000.0,0.0,1.0,1.0,up
f130,10149.5,7.300099241547287e-08,0.28965217126863696,1.0,up
f131,10477.0,8.049212110563531e-06,0.5010659821495065,1.0,up
