feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f0,1404.5,1.956216023382643e-07,1.0,1.0,up
f1,1146.0,-7.947569233606975e-05,0.10304054720472518,1.0,down
f2,1530.0,-8.236638677772137e-07,0.16569588413177172,1.0,down
f3,1405.0,3.05159840038714e-08,1.0,1.0,up
f4,1404.5,0.0,1.0,1.0,up
f5,1613.5,6.979657076233295e-06,0.09733899659428528,1.0,up
f6,1404.5,0.0,1.0,1.0,up
f7,1332.5,3.1446021616915766e-06,0.6506287932221164,1.0,up
f8,1477.0,4.40698396524344e-06,0.6339600947570234,1.0,up
f9,1404.5,0.0,1.0,1.0,up
f10,1431.0,1.6871806264872538e-07,0.32652761470271974,1.0,up
f11,1404.5,0.0,1.0,1.0,up
f12,1404.5,0.0,1.0,1.0,up
f13,1313.5,-9.121474747343938e-07,0.41979333021082654,1.0,down
f14,1404.5,0.0,1.0,1.0,up
f15,1404.5,0.0,1.0,1.0,up
f16,1404.5,0.0,1.0,1.0,up
f17,1404.5,0.0,1.0,1.0,up
f18,1404.5,0.0,1.0,1.0,up
f19,1404.5,0.0,1.0,1.0,up
f20,1404.5,0.0,1.0,1.0,up
f21,1404.5,0.0,1.0,1.0,up
f22,1404.5,0.0,1.0,1.0,up
f23,1429.0,1.3311982225134688e-08,0.7744869065278069,1.0,up
f24,1404.5,0.0,1.0,1.0,up
f25,1404.5,0.0,1.0,1.0,up
f26,1404.5,0.0,1.0,1.0,up
f27,1404.5,0.0,1.0,1.0,up
f28,1404.5,0.0,1.0,1.0,up
f29,1489.5,1.0562577682441838e-06,0.5109778650606112,1.0,up
f30,1223.5,-2.5315839250326015e-06,0.18371955923764816,1.0,down
f31,1404.5,0.0,1.0,1.0,up
f32,1404.5,0.0,1.0,1.0,up
f33,1404.5,0.0,1.0,1.0,up
f34,1411.0,3.4458333964652893e-06,0.9667585614842157,1.0,up
f35,1453.5,5.01041125422695e-06,0.7591623412642159,1.0,up
f36,1433.0,4.5612881911198064e-05,0.7818246399074079,1.0,up
f37,1404.5,0.0,1.0,1.0,up
