feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f2,20112.0,1.733273725123794,4.1081851848907836e-32,2.6292385183301015e-30,up
f1,19891.0,1.5858463146651833,1.2962242678755214e-30,4.1479176572016685e-29,up
f0,19510.0,1.5725696301505572,4.06798124971306e-28,8.67835999938786e-27,up
f3,18931.0,1.5541373937746317,1.553914653277112e-24,2.4862634452433793e-23,up
f37,8942.0,-0.36746234667184663,0.0021294930234610075,0.027257510700300896,down
f49,9896.0,-0.18144307556291916,0.07159790945676742,0.7637110342055191,down
f24,12454.0,0.24172170982849484,0.10915585499041526,0.8732468399233221,up
f47,10045.0,-0.17103829757605604,0.10886181506675634,0.8732468399233221,down
f21,10094.0,-0.16417831855176387,0.12402287264186646,0.8819404276754947,down
f4,11079.0,-0.023258524944031272,0.8204584313792321,0.9351515226294855,down
f5,10860.0,-0.07012376900812695,0.6041304309583317,0.9351515226294855,down
f6,11662.0,0.05569745293475585,0.583860483219808,0.9351515226294855,up
f7,11421.0,0.017046172048768043,0.8204584313792321,0.9351515226294855,up
f8,11382.0,0.02004550287122435,0.8610467577861515,0.9351515226294855,up
f9,11410.0,0.06784830165272801,0.8318627714852554,0.9351515226294855,up
f10,11097.0,-0.041376405409755165,0.8391387141411,0.9351515226294855,down
f11,12180.0,0.12004051066038263,0.21598577506849825,0.9351515226294855,up
f12,11908.0,0.12013111289659834,0.38146008928237174,0.9351515226294855,up
f13,11588.0,0.0704283411516726,0.6532499735517754,0.9351515226294855,up
f14,10688.0,-0.08502726597072162,0.45480886982297486,0.9351515226294855,down
f15,11975.0,0.11252648724569253,0.33484842227872114,0.9351515226294855,up
f16,10967.0,-0.03244935891026887,0.7068868215010325,0.9351515226294855,down
f17,11381.0,0.0209179460296722,0.862092809924057,0.9351515226294855,up
f18,11384.0,0.03538782734416185,0.8589553864148022,0.9351515226294855,up
f20,10761.0,-0.06874014794485336,0.5155304358703519,0.9351515226294855,down
f22,10959.0,-0.059622265602165735,0.698986173928454,0.9351515226294855,down
f23,12279.0,0.17061506271451124,0.17098255965906095,0.9351515226294855,up
f25,12332.0,0.17449633717385318,0.14997984710195,0.9351515226294855,up
f26,10534.0,-0.11005099758648129,0.3408870803397872,0.9351515226294855,down
f27,10418.0,-0.11036210920436555,0.26837024779334084,0.9351515226294855,down
f28,10675.0,-0.06947255438002561,0.44443441314933574,0.9351515226294855,down
f30,11111.0,-0.056613475322960724,0.8537313169768538,0.9351515226294855,down
f31,12073.0,0.16080381097058366,0.2735852290996392,0.9351515226294855,up
f32,10983.0,-0.059950528157491995,0.7227824429187121,0.9351515226294855,down
f33,11414.0,0.03322858644708045,0.8277115075067812,0.9351515226294855,up
f34,11705.0,0.03932562356512101,0.5451839680797947,0.9351515226294855,up
f36,10686.0,-0.08048482450147573,0.45320397494001874,0.9351515226294855,down
f38,11958.0,0.12104735228174977,0.3463129523277888,0.9351515226294855,up
f39,10568.0,-0.11201209378587944,0.36432430900085233,0.9351515226294855,down
f40,10806.0,-0.05365879540782094,0.5549558670859079,0.9351515226294855,down
f41,11671.0,0.0773543686073071,0.575660511092404,0.9351515226294855,up
f42,11705.0,0.042421998711208726,0.5451839680797947,0.9351515226294855,up
f43,12062.0,0.08762600031741534,0.2800526108334176,0.9351515226294855,up
f44,11874.0,0.08492989074028533,0.4065663570620508,0.9351515226294855,up
f45,11023.0,-0.006983189056128446,0.7630348347060943,0.9351515226294855,down
f46,11650.0,0.06091568707340024,0.5948776128497975,0.9351515226294855,up
f48,12058.0,0.15727913374370847,0.2824299367800356,0.9351515226294855,up
f50,11495.0,0.03741689275806759,0.7448344488651131,0.9351515226294855,up
f51,11065.0,-0.0370826484658057,0.805998839703671,0.9351515226294855,down
f53,10251.0,-0.13146879584452914,0.18380839071934918,0.9351515226294855,down
f54,11456.0,0.04342623491756209,0.7844347117619648,0.9351515226294855,up
f55,11023.0,-0.02860633214915797,0.7630348347060943,0.9351515226294855,down
f56,11512.0,0.046235919801119414,0.7277748438371238,0.9351515226294855,up
f57,11058.0,0.0006362766876665815,0.7987935094224619,0.9351515226294855,up
f58,11028.0,-0.001881253650243768,0.7681143220625304,0.9351515226294855,down
f60,10613.0,-0.11106755047793171,0.3968525860297447,0.9351515226294855,down
f61,10520.0,-0.10369842943608337,0.33152358121173253,0.9351515226294855,down
f62,11791.0,0.07710552176849704,0.47185227324909507,0.9351515226294855,up
f63,10930.0,-0.03758582694703465,0.6706239922834795,0.9351515226294855,down
f29,11324.0,-0.026186616956303005,0.9220616678999156,0.975429719589971,down
f35,11293.0,0.020562107829486864,0.9548857749841811,0.975429719589971,up
f52,11288.0,0.05068281843483972,0.9601886302213778,0.975429719589971,up
f59,11302.0,-0.004661144927547767,0.9453458233721245,0.975429719589971,down
f19,11237.0,0.0020129562167713055,0.986724644752203,0.986724644752203,up
